season,league,position,team,points,games_played,wins,draws,losses,goals_scored,goals_conceded,goal_diff,xg,xga,xg_diff
2015/16,Premier League,1,Leicester,81,38,23,12,3,68,36,32,68.42,45.02,23.4
2015/16,Premier League,2,Arsenal,71,38,20,11,7,65,36,29,73.53,33.86,39.67
2015/16,Premier League,3,Tottenham,70,38,19,13,6,69,35,34,63.42,37.08,26.34
2015/16,Premier League,4,Manchester City,66,38,19,9,10,71,41,30,66.2,37.47,28.73
2015/16,Premier League,5,Manchester United,66,38,19,9,10,49,35,14,45.42,39.66,5.77
2015/16,Premier League,6,Southampton,63,38,18,9,11,59,41,18,56.2,44.29,11.91
2015/16,Premier League,7,West Ham,62,38,16,14,8,65,51,14,54.4,55.48,-1.08
2015/16,Premier League,8,Liverpool,60,38,16,12,10,63,50,13,54.37,37.88,16.48
2015/16,Premier League,9,Stoke,51,38,14,9,15,41,55,-14,42.63,54.35,-11.72
2015/16,Premier League,10,Chelsea,50,38,12,14,12,59,53,6,54.48,44.63,9.85
2015/16,Premier League,11,Everton,47,38,11,14,13,59,55,4,53.98,54.75,-0.77
2015/16,Premier League,12,Swansea,47,38,12,11,15,42,52,-10,39.96,53.63,-13.68
2015/16,Premier League,13,Watford,45,38,12,9,17,40,50,-10,43.2,51.85,-8.65
2015/16,Premier League,14,West Bromwich Albion,43,38,10,13,15,34,48,-14,39.75,51.94,-12.18
2015/16,Premier League,15,Crystal Palace,42,38,11,9,18,39,51,-12,42.51,52.94,-10.43
2015/16,Premier League,16,Bournemouth,42,38,11,9,18,45,67,-22,38.71,53.97,-15.26
2015/16,Premier League,17,Sunderland,39,38,9,12,17,48,62,-14,40.52,58.85,-18.33
2015/16,Premier League,18,Newcastle United,37,38,9,10,19,44,65,-21,37.61,55.42,-17.82
2015/16,Premier League,19,Norwich,34,38,9,7,22,39,67,-28,39.19,58.93,-19.74
2015/16,Premier League,20,Aston Villa,17,38,3,8,27,27,76,-49,26.53,59.01,-32.48
2017/18,Premier League,1,Manchester City,100,38,32,4,2,106,27,79,91.43,24.51,66.92
2017/18,Premier League,2,Manchester United,81,38,25,6,7,68,28,40,59.04,43.54,15.5
2017/18,Premier League,3,Tottenham,77,38,23,8,7,74,36,38,68.91,35.86,33.05
2017/18,Premier League,4,Liverpool,75,38,21,12,5,84,38,46,77.49,35.75,41.73
2017/18,Premier League,5,Chelsea,70,38,21,7,10,62,38,24,59.16,34.03,25.13
2017/18,Premier League,6,Arsenal,63,38,19,6,13,74,51,23,72.27,48.75,23.52
2017/18,Premier League,7,Burnley,54,38,14,12,12,36,39,-3,32.77,52.16,-19.39
2017/18,Premier League,8,Everton,49,38,13,10,15,44,58,-14,43.71,55.5,-11.79
2017/18,Premier League,9,Leicester,47,38,12,11,15,56,60,-4,50.29,49.36,0.93
2017/18,Premier League,10,Newcastle United,44,38,12,8,18,39,47,-8,44.63,52.47,-7.85
2017/18,Premier League,11,Crystal Palace,44,38,11,11,16,45,55,-10,56.75,53.54,3.21
2017/18,Premier League,12,Bournemouth,44,38,11,11,16,45,61,-16,39.99,64.93,-24.94
2017/18,Premier League,13,West Ham,42,38,10,12,16,48,68,-20,36.8,58.37,-21.57
2017/18,Premier League,14,Watford,41,38,11,8,19,44,64,-20,45.85,53.98,-8.13
2017/18,Premier League,15,Brighton,40,38,9,13,16,34,54,-20,37.21,53.08,-15.87
2017/18,Premier League,16,Huddersfield,37,38,9,10,19,28,58,-30,32.13,53.22,-21.08
2017/18,Premier League,17,Southampton,36,38,7,15,16,37,56,-19,41.88,46.56,-4.68
2017/18,Premier League,18,Swansea,33,38,8,9,21,28,56,-28,29.71,61.83,-32.12
2017/18,Premier League,19,Stoke,33,38,7,12,19,35,68,-33,36.75,65.54,-28.79
2017/18,Premier League,20,West Bromwich Albion,31,38,6,13,19,31,56,-25,35.18,48.99,-13.81
2018/19,Premier League,1,Manchester City,98,38,32,2,4,95,23,72,93.72,25.73,67.99
2018/19,Premier League,2,Liverpool,97,38,30,7,1,89,22,67,79.46,29.15,50.31
2018/19,Premier League,3,Chelsea,72,38,21,9,8,63,39,24,63.97,38.11,25.86
2018/19,Premier League,4,Tottenham,71,38,23,2,13,67,39,28,61.75,49.15,12.6
2018/19,Premier League,5,Arsenal,70,38,21,7,10,73,51,22,64.8,57.3,7.5
2018/19,Premier League,6,Manchester United,66,38,19,9,10,65,54,11,68.62,52.3,16.32
2018/19,Premier League,7,Wolverhampton Wanderers,57,38,16,9,13,47,46,1,53.06,42.69,10.37
2018/19,Premier League,8,Everton,54,38,15,9,14,54,46,8,53.87,49.31,4.56
2018/19,Premier League,9,Leicester,52,38,15,7,16,51,48,3,52.11,44.64,7.47
2018/19,Premier League,10,West Ham,52,38,15,7,16,52,55,-3,47.96,65.66,-17.7
2018/19,Premier League,11,Watford,50,38,14,8,16,52,59,-7,51.73,63.29,-11.56
2018/19,Premier League,12,Crystal Palace,49,38,14,7,17,51,53,-2,50.64,52.8,-2.16
2018/19,Premier League,13,Newcastle United,45,38,12,9,17,42,48,-6,39.91,57.55,-17.63
2018/19,Premier League,14,Bournemouth,45,38,13,6,19,56,70,-14,58.81,62.42,-3.61
2018/19,Premier League,15,Burnley,40,38,11,7,20,45,68,-23,44.74,66.12,-21.38
2018/19,Premier League,16,Southampton,39,38,9,12,17,45,65,-20,49.67,59.27,-9.6
2018/19,Premier League,17,Brighton,36,38,9,9,20,35,60,-25,37.03,62.46,-25.43
2018/19,Premier League,18,Cardiff,34,38,10,4,24,34,69,-35,41.77,66.5,-24.73
2018/19,Premier League,19,Fulham,26,38,7,5,26,34,81,-47,42.62,73.59,-30.96
2018/19,Premier League,20,Huddersfield,16,38,3,7,28,22,76,-54,29.0,67.19,-38.19
2021/22,Premier League,1,Manchester City,93,38,29,6,3,99,26,73,93.4,25.21,68.19
2021/22,Premier League,2,Liverpool,92,38,28,8,2,94,26,68,93.02,32.73,60.29
2021/22,Premier League,3,Chelsea,74,38,21,11,6,76,33,43,69.3,35.12,34.18
2021/22,Premier League,4,Tottenham,71,38,22,5,11,69,40,29,67.95,43.7,24.25
2021/22,Premier League,5,Arsenal,69,38,22,3,13,61,48,13,63.39,48.39,15.0
2021/22,Premier League,6,Manchester United,58,38,16,10,12,57,57,0,57.21,56.85,0.36
2021/22,Premier League,7,West Ham,56,38,16,8,14,60,51,9,54.98,53.88,1.11
2021/22,Premier League,8,Leicester,52,38,14,10,14,62,59,3,49.49,66.11,-16.62
2021/22,Premier League,9,Brighton,51,38,12,15,11,42,44,-2,49.57,47.21,2.36
2021/22,Premier League,10,Wolverhampton Wanderers,51,38,15,6,17,38,43,-5,39.04,58.48,-19.44
2021/22,Premier League,11,Newcastle United,49,38,13,10,15,44,62,-18,41.53,62.71,-21.19
2021/22,Premier League,12,Crystal Palace,48,38,11,15,12,50,46,4,48.84,41.33,7.51
2021/22,Premier League,13,Brentford,46,38,13,7,18,48,56,-8,52.89,49.5,3.39
2021/22,Premier League,14,Aston Villa,45,38,13,6,19,52,54,-2,43.13,53.1,-9.97
2021/22,Premier League,15,Southampton,40,38,9,13,16,43,67,-24,47.35,64.56,-17.21
2021/22,Premier League,16,Everton,39,38,11,6,21,43,66,-23,44.47,60.69,-16.22
2021/22,Premier League,17,Leeds,38,38,9,11,18,42,79,-37,51.19,71.31,-20.12
2021/22,Premier League,18,Burnley,35,38,7,14,17,34,53,-19,41.11,60.22,-19.12
2021/22,Premier League,19,Watford,23,38,6,5,27,34,77,-43,39.34,67.53,-28.19
2021/22,Premier League,20,Norwich,22,38,5,7,26,23,84,-61,31.51,80.08,-48.56
2016/17,Bundesliga,1,Bayern Munich,82,34,25,7,2,89,22,67,73.91,27.04,46.87
2016/17,Bundesliga,2,RasenBallsport Leipzig,67,34,20,7,7,66,39,27,55.09,40.06,15.03
2016/17,Bundesliga,3,Borussia Dortmund,64,34,18,10,6,72,40,32,74.91,34.61,40.3
2016/17,Bundesliga,4,Hoffenheim,62,34,16,14,4,64,37,27,54.5,41.44,13.06
2016/17,Bundesliga,5,FC Cologne,49,34,12,13,9,51,42,9,45.34,41.27,4.06
2016/17,Bundesliga,6,Hertha Berlin,49,34,15,4,15,43,47,-4,38.15,49.39,-11.24
2016/17,Bundesliga,7,Freiburg,48,34,14,6,14,42,60,-18,39.41,54.62,-15.21
2016/17,Bundesliga,8,Werder Bremen,45,34,13,6,15,61,64,-3,42.99,60.55,-17.55
2016/17,Bundesliga,9,Borussia M.Gladbach,45,34,12,9,13,45,49,-4,45.82,44.44,1.38
2016/17,Bundesliga,10,Schalke 04,43,34,11,10,13,45,40,5,44.86,43.87,0.99
2016/17,Bundesliga,11,Eintracht Frankfurt,42,34,11,9,14,36,43,-7,43.59,38.33,5.26
2016/17,Bundesliga,12,Bayer Leverkusen,41,34,11,8,15,53,55,-2,53.1,50.38,2.72
2016/17,Bundesliga,13,Augsburg,38,34,9,11,14,35,51,-16,33.88,52.26,-18.38
2016/17,Bundesliga,14,Hamburger SV,38,34,10,8,16,33,61,-28,31.91,57.14,-25.23
2016/17,Bundesliga,15,Mainz 05,37,34,10,7,17,44,55,-11,42.36,43.23,-0.87
2016/17,Bundesliga,16,Wolfsburg,37,34,10,7,17,34,52,-18,44.47,46.85,-2.39
2016/17,Bundesliga,17,Ingolstadt,32,34,8,8,18,36,57,-21,44.51,49.19,-4.68
2016/17,Bundesliga,18,Darmstadt,25,34,7,4,23,28,63,-35,33.91,68.04,-34.13
2017/18,Bundesliga,1,Bayern Munich,84,34,27,3,4,92,28,64,76.55,30.64,45.91
2017/18,Bundesliga,2,Schalke 04,63,34,18,9,7,53,37,16,46.83,39.42,7.41
2017/18,Bundesliga,3,Hoffenheim,55,34,15,10,9,66,48,18,50.72,45.2,5.52
2017/18,Bundesliga,4,Borussia Dortmund,55,34,15,10,9,64,47,17,66.1,40.86,25.24
2017/18,Bundesliga,5,Bayer Leverkusen,55,34,15,10,9,58,44,14,56.98,36.92,20.06
2017/18,Bundesliga,6,RasenBallsport Leipzig,53,34,15,8,11,57,53,4,51.42,47.42,4.0
2017/18,Bundesliga,7,VfB Stuttgart,51,34,15,6,13,36,36,0,37.91,39.35,-1.44
2017/18,Bundesliga,8,Eintracht Frankfurt,49,34,14,7,13,45,45,0,41.06,40.91,0.15
2017/18,Bundesliga,9,Borussia M.Gladbach,47,34,13,8,13,47,52,-5,51.25,52.09,-0.84
2017/18,Bundesliga,10,Hertha Berlin,43,34,10,13,11,43,46,-3,38.58,44.71,-6.14
2017/18,Bundesliga,11,Werder Bremen,42,34,10,12,12,37,40,-3,38.51,43.47,-4.96
2017/18,Bundesliga,12,Augsburg,41,34,10,11,13,43,46,-3,42.26,40.82,1.45
2017/18,Bundesliga,13,Hannover 96,39,34,10,9,15,44,54,-10,41.22,54.36,-13.14
2017/18,Bundesliga,14,Mainz 05,36,34,9,9,16,38,52,-14,31.65,45.18,-13.53
2017/18,Bundesliga,15,Freiburg,36,34,8,12,14,32,56,-24,36.98,45.66,-8.68
2017/18,Bundesliga,16,Wolfsburg,33,34,6,15,13,36,48,-12,32.11,49.43,-17.32
2017/18,Bundesliga,17,Hamburger SV,31,34,8,7,19,29,53,-24,36.04,54.06,-18.02
2017/18,Bundesliga,18,FC Cologne,22,34,5,7,22,35,70,-35,41.5,67.17,-25.67
2021/22,Bundesliga,1,Bayern Munich,77,34,24,5,5,97,37,60,99.91,38.61,61.3
2021/22,Bundesliga,2,Borussia Dortmund,69,34,22,3,9,85,52,33,65.65,47.67,17.97
2021/22,Bundesliga,3,Bayer Leverkusen,64,34,19,7,8,80,47,33,66.31,45.02,21.3
2021/22,Bundesliga,4,RasenBallsport Leipzig,58,34,17,7,10,72,37,35,67.4,44.38,23.02
2021/22,Bundesliga,5,Union Berlin,57,34,16,9,9,50,44,6,55.2,39.83,15.38
2021/22,Bundesliga,6,Freiburg,55,34,15,10,9,58,46,12,57.73,49.08,8.64
2021/22,Bundesliga,7,FC Cologne,52,34,14,10,10,52,49,3,52.3,53.09,-0.79
2021/22,Bundesliga,8,Mainz 05,46,34,13,7,14,50,45,5,52.08,43.41,8.68
2021/22,Bundesliga,9,Hoffenheim,46,34,13,7,14,58,60,-2,59.77,57.27,2.5
2021/22,Bundesliga,10,Borussia M.Gladbach,45,34,12,9,13,54,61,-7,59.92,60.71,-0.79
2021/22,Bundesliga,11,Eintracht Frankfurt,42,34,10,12,12,45,49,-4,41.65,54.38,-12.73
2021/22,Bundesliga,12,Wolfsburg,42,34,12,6,16,43,54,-11,49.27,53.48,-4.2
2021/22,Bundesliga,13,Bochum,42,34,12,6,16,38,52,-14,44.78,58.18,-13.4
2021/22,Bundesliga,14,Augsburg,38,34,10,8,16,39,56,-17,38.95,65.02,-26.07
2021/22,Bundesliga,15,VfB Stuttgart,33,34,7,12,15,41,59,-18,47.91,55.46,-7.55
2021/22,Bundesliga,16,Hertha Berlin,33,34,9,6,19,37,71,-34,37.89,58.79,-20.9
2021/22,Bundesliga,17,Arminia Bielefeld,28,34,5,13,16,27,53,-26,27.22,69.67,-42.44
2021/22,Bundesliga,18,Greuther Fuerth,18,34,3,9,22,28,82,-54,30.64,60.54,-29.91
